Sample File	Sample Name	Well	Run Name	Panel	Marker	Dye	Allele 1	Allele 2	Allele 3	Allele 4	Allele 5	Allele 6	Allele 7	Height 1	Height 2	Height 3	Height 4	Height 5	Height 6	Height 7	Size 1	Size 2	Size 3	Size 4	Size 5	Size 6	Size 7	Peak Area 1	Peak Area 2	Peak Area 3	Peak Area 4	Peak Area 5	Peak Area 6	Peak Area 7	Data Point 1	Data Point 2	Data Point 3	Data Point 4	Data Point 5	Data Point 6	Data Point 7	ADO	AE	OMIT	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	CC	OVL	XTLK	GQ	CV
frag_003_B09.fsa	FCR1	05-09B	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA15	Y	207							3281							206.84							36717							4301							FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_008_D06.fsa	FCR2	05-09C	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA15	Y	206	207						3500	2416						206.1	207.06						45693	27406						3829	3843						FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_007_D09.fsa	FCR3	05-09D	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA15	Y	208							1500							207.82							19288							4138							FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_009_E09.fsa	FCR4	05-09E	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA15	Y	197	207	211	212				335	170	352	128				196.66	207.14	210.58	211.77				3870	1771	4799	1039				4204	4350	4396	4412				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_012_F06.fsa	FCR5	05-09F	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA15	Y	207							1944							207.1							25387							3841							FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_013_G09.fsa	FCR6	05-09G	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA15	Y	208							1189							207.43							14733							4016							FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_007_D01.fsa	FCR7	05-09H	Run_MAJSEQUENCER_2010-02-17_10-31_5959	RUB1	RhCBA15	Y	197	208	212	218				482	324	397	252				196.77	207.31	211.76	218.44				5021	3504	4172	2414				3832	3976	4035	4124				FALSE	FALSE	FALSE	0	0	0	1	0	0	0	0	0	0	0	-2	-2	0	0.4471	
frag_014_G06.fsa	FCR8	05-10A	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA15	Y	197	207	212	218				265	157	197	121				196.92	207.1	211.59	217.9				2833	1748	2297	1255				3703	3854	3919	4011				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_016_H06.fsa	FCR9	05-10B	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA15	Y	197	208	212	218				388	246	294	182				196.93	207.24	211.52	217.96				3854	2398	2974	1643				3712	3865	3927	4021				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_006_C10.fsa	FCR10	05-10C	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA15	Y	199	209	218					146	274	70					198.5	209.15	218.11					1385	2960	583					3768	3909	4027					FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
