Sample File	Sample Name	Well	Run Name	Panel	Marker	Dye	Allele 1	Allele 2	Allele 3	Allele 4	Allele 5	Allele 6	Allele 7	Allele 8	Allele 9	Height 1	Height 2	Height 3	Height 4	Height 5	Height 6	Height 7	Height 8	Height 9	Size 1	Size 2	Size 3	Size 4	Size 5	Size 6	Size 7	Size 8	Size 9	Peak Area 1	Peak Area 2	Peak Area 3	Peak Area 4	Peak Area 5	Peak Area 6	Peak Area 7	Peak Area 8	Peak Area 9	Data Point 1	Data Point 2	Data Point 3	Data Point 4	Data Point 5	Data Point 6	Data Point 7	Data Point 8	Data Point 9	ADO	AE	OMIT	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	CC	OVL	XTLK	GQ	CV
frag_003_B09.fsa	FCR1	05-09B	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	102	111								5018	638								101.59	110.79								53381	6675								2788	2926								FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_005_C09.fsa	FCR2	05-09C	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	102	104	106	111	123	125				7215	1668	696	1246	252	148				101.95	103.84	105.94	111.18	122.89	124.7				77913	13342	5773	11336	2505	1193				2470	2498	2529	2606	2776	2802				FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_007_D09.fsa	FCR3	05-09D	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	102	106	115							3939	978	667							102.05	105.7	115.13							42077	9080	6244							2626	2681	2822							FALSE	FALSE	FALSE	0	0	0	1	0	0	0	0	0	0	0	-2	-2	0	0.45	
frag_009_E09.fsa	FCR4	05-09E	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	98	125								4660	992								97.62	124.28								53149	9752								2770	3165								FALSE	FALSE	FALSE	0	0	0	1	0	0	0	0	0	0	0	-2	-2	0	0.4474	
frag_011_F09.fsa	FCR5	05-09F	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	102	106	115							3548	958	605							101.96	105.62	115.05							35050	7857	5344							2497	2551	2689							FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	1	
frag_013_G09.fsa	FCR6	05-09G	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	102	106	115							3321	881	559							102.02	105.66	115.12							33012	7478	4886							2528	2582	2721							FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0.9909	
frag_003_B01.fsa	FCR7	05-09H	Run_MAJSEQUENCER_2010-03-02_12-00_5974	RUB1	RhCBA23	B	98	106	126							7268	587	2239							97.49	105.69	126.41							104304	5421	19381							2557	2674	2974							FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_014_G06.fsa	FCR8	05-10A	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA23	B	98	127								3380	751								98.38	126.89								31602	6426								2233	2659								FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0.9878	
frag_016_H06.fsa	FCR9	05-10B	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA23	B	98	127								1406	401								98.3	126.89								12890	3276								2239	2666								FALSE	FALSE	FALSE	0	0	0	1	0	0	0	0	0	0	0	-2	-2	0	0.4441	
frag_006_C10.fsa	FCR10	05-10C	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	98									7002									97.91									66427									2367									FALSE	FALSE	FALSE	0	0	0	0	0	0	-2	0	0	0	0	-2	-2	0	1	
frag_003_B07.fsa	FCR11	05-10D	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA23	B	98	127								1016	389								98.22	126.89								9258	3238								2196	2622								FALSE	FALSE	FALSE	0	0	0	1	0	0	0	0	0	0	0	-2	-2	0	0.4446	
frag_010_E10.fsa	FCR12	05-10E	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	98	127								782	182								98.09	126.54								7545	1553								2535	2951								FALSE	FALSE	FALSE	0	0	0	1	0	0	0	0	0	0	0	-2	-2	0	0.445	
frag_007_D07.fsa	FCR13	05-10F	Run_MAJSEQUENCER_2009-12-16_23-34_5921	RUB1	RhCBA23	B	98	127								407	155								98.29	126.87								3717	1278								2191	2614								FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_014_G10.fsa	FCR14	05-10G	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	98	127								5215	971								97.85	126.42								50930	8287								2430	2841								FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0.9962	
frag_016_H10.fsa	FCR15	05-10H	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA23	B	98	108	117							7474	3366	3378							97.93	107.46	117.17							85271	31882	31400							2468	2606	2749							FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	1	
frag_013_G01.fsa	FCR16	05-11A	Run_MAJSEQUENCER_2009-12-12_14-28_5908	RUB1	RhCBA23	B	98	125								1265	304								98.32	124.94								11294	2431								2157	2546								FALSE	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	-2	-2	0	0.1962	
frag_003_B11.fsa	FCR17	05-11B	Run_MAJSEQUENCER_2009-11-19_17-39_5863	RUB1	RhCBA23	B	98	126								2076	431								97.89	126.37								22581	4092								2614	3036								FALSE	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	-2	-2	0	0.0883	
frag_005_C11.fsa	FCR18	05-11C	Run_MAJSEQUENCER_2009-11-19_17-39_5863	RUB1	RhCBA23	B	98	126								1140	240								97.79	126.31								11196	2027								2359	2771								FALSE	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	-2	-2	0	0.0896	
