Sample File	Sample Name	Well	Run Name	Panel	Marker	Dye	Allele 1	Allele 2	Allele 3	Allele 4	Allele 5	Allele 6	Allele 7	Allele 8	Allele 9	Allele 10	Allele 11	Allele 12	Height 1	Height 2	Height 3	Height 4	Height 5	Height 6	Height 7	Height 8	Height 9	Height 10	Height 11	Height 12	Size 1	Size 2	Size 3	Size 4	Size 5	Size 6	Size 7	Size 8	Size 9	Size 10	Size 11	Size 12	Peak Area 1	Peak Area 2	Peak Area 3	Peak Area 4	Peak Area 5	Peak Area 6	Peak Area 7	Peak Area 8	Peak Area 9	Peak Area 10	Peak Area 11	Peak Area 12	Data Point 1	Data Point 2	Data Point 3	Data Point 4	Data Point 5	Data Point 6	Data Point 7	Data Point 8	Data Point 9	Data Point 10	Data Point 11	Data Point 12	ADO	AE	OMIT	OS	SHP	OBA	SPA	SP	BIN	PHR	LPH	SPU	AN	BD	CC	OVL	XTLK	GQ	CV
frag_003_B09.fsa	FCR1	05-09B	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA28	G	146	154	157	159	168	175							120	137	106	96	75	96							145.36	154.28	156.79	158.48	166.95	175.04							1138	1844	1610	864	981	932							3418	3534	3568	3591	3714	3834							FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_005_C09.fsa	FCR2	05-09C	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA28	G	146	155	157	159	168	175							253	270	196	178	160	191							145.76	154.59	157.17	158.77	167.24	175.26							2471	3394	2973	1412	1894	1836							3088	3202	3237	3259	3381	3498							FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_006_C02.fsa	FCR3	05-09D	Run_MAJSEQUENCER_2010-02-17_10-31_5959	RUB1	RhCBA28	G	146	148	157	159	164	170	176	198					186	177	226	121	118	129	62	46					145.49	147.28	157.16	158.58	164.3	170.06	175.58	197.91					2527	1591	3189	1010	1633	1454	598	452					3186	3209	3342	3362	3446	3532	3615	3954					FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_009_E09.fsa	FCR4	05-09E	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA28	G	151	174	182										305	156	281										150.91	174.11	182.23										3193	1731	3077										3531	3863	3985										FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	-2	-2	0	0.9943	
frag_011_F09.fsa	FCR5	05-09F	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA28	G	146	148	157	159	166	170	172	174					133	134	183	87	102	97	74	58					145.73	147.58	157.37	158.76	166.47	170.21	172.07	173.87					1857	1082	2461	680	974	1133	615	477					3112	3135	3263	3282	3392	3446	3473	3499					FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_013_G09.fsa	FCR6	05-09G	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA28	G	146	148	157	159	167	170	172	174					123	107	139	70	81	79	60	44					145.75	147.6	157.44	158.76	166.57	170.22	172.08	174					1593	885	1926	562	782	895	476	333					3146	3169	3298	3316	3428	3481	3508	3536					FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_007_D01.fsa	FCR7	05-09H	Run_MAJSEQUENCER_2010-02-17_10-31_5959	RUB1	RhCBA28	G	164	174	176	179	181								377	397	185	67	61								163.5	173.96	176.07	178.79	180.69								3719	3902	1864	788	591								3342	3495	3526	3566	3594								FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_014_G06.fsa	FCR8	05-10A	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA28	G	164	174	176										225	303	157										163.54	173.99	175.99										2143	2918	1415										3182	3343	3374										FALSE	FALSE	FALSE	0	0	0	0	0	1	0	0	0	0	0	-2	-2	0	0.1976	
frag_016_H06.fsa	FCR9	05-10B	Run_MAJSEQUENCER_2009-12-16_23-34_5920	RUB1	RhCBA28	G	164	174	176										169	229	103										163.59	174.02	176.07										1491	2045	867										3190	3351	3383										FALSE	TRUE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	
frag_006_C10.fsa	FCR10	05-10C	Run_MAJSEQUENCER_2009-11-19_17-39_5862	RUB1	RhCBA28	G	133	172	180										365	72	323										133.33	171.96	179.9										3342	709	2967										2868	3383	3497										FALSE	FALSE	FALSE	0	0	0	1	0	1	0	0	0	0	0	-2	-2	0	0.09	
